doy = UTC, AirtT = degC, RH = %, WS = m/s, WDir = deg, atmP = kPa, SWin = W/m2, Rain = mm
05-Feb-2020 08:00:001,0.7,75,0.447,135,96.9305,0,0
05-Feb-2020 09:00:001,1.3,81,0.447,112.5,96.9237,0,0
05-Feb-2020 10:00:001,-0.2,79,0.447,135,96.9474,0,0
05-Feb-2020 11:00:001,-0.3,80,0.447,135,96.9102,0,0
05-Feb-2020 12:00:001,0.8,84,0.447,90,96.9305,0,0
05-Feb-2020 13:00:001,0.2,80,0.8941,135,96.9203,0,0
05-Feb-2020 14:00:001,-0.4,82,0.447,135,96.9102,0,0
05-Feb-2020 15:00:001,1.2,85,0.447,225,96.9542,0,0
05-Feb-2020 16:00:001,-0.1,84,1.3411,135,96.9982,30,0
05-Feb-2020 17:00:001,5.2,72,0.8941,90,97.0016,224,0
05-Feb-2020 18:00:001,7.2,69,0.8941,292.5,96.9745,357,0
05-Feb-2020 19:00:001,10.1,55,0.8941,67.5,96.9373,485,0
05-Feb-2020 20:00:001,9.7,64,1.3411,0,96.8357,556,0
05-Feb-2020 21:00:001,12.2,46,1.3411,45,96.7442,562,0
05-Feb-2020 22:00:001,12.3,66,1.3411,337.5,96.6562,517,0
05-Feb-2020 23:00:001,15.8,36,1.3411,0,96.5952,400,0
06-Feb-2020 00:00:001,17.2,41,0.447,0,96.5614,298,0
06-Feb-2020 01:00:001,16.9,37,0.8941,0,96.5444,78,0
06-Feb-2020 02:00:001,12.2,66,0.447,292.5,96.5546,1,0
06-Feb-2020 03:00:001,12,63,0.447,90,96.5986,0,0
06-Feb-2020 04:00:001,10.5,70,0,112.5,96.6223,0,0
06-Feb-2020 05:00:001,8.9,77,0.447,157.5,96.6562,0,0
06-Feb-2020 06:00:001,8,80,0.8941,157.5,96.6494,0,0
06-Feb-2020 07:00:001,6.3,85,0.8941,135,96.6426,0,0
06-Feb-2020 08:00:001,5.5,89,0.447,157.5,96.6528,0,0
06-Feb-2020 09:00:001,4.7,90,0.447,112.5,96.6393,0,0
06-Feb-2020 10:00:001,4.2,89,0.447,135,96.6731,0,0
06-Feb-2020 11:00:001,3.2,93,0.447,135,96.646,0,0
06-Feb-2020 12:00:001,3.9,93,0.447,135,96.6291,0,0
06-Feb-2020 13:00:001,2.8,94,0.8941,112.5,96.6393,0,0
06-Feb-2020 14:00:001,2.2,94,0.447,90,96.6325,0,0
06-Feb-2020 15:00:001,1.8,92,0.447,135,96.6189,0,0
06-Feb-2020 16:00:001,2.7,95,0,135,96.6799,40,0
06-Feb-2020 17:00:001,6.6,88,0.8941,135,96.6596,224,0
06-Feb-2020 18:00:001,8,85,0.8941,337.5,96.6426,350,0
06-Feb-2020 19:00:001,9.4,81,1.3411,0,96.6426,508,0
06-Feb-2020 20:00:001,12.2,69,0.8941,0,96.5681,578,0
06-Feb-2020 21:00:001,13.6,60,1.3411,0,96.4666,588,0
06-Feb-2020 22:00:001,15.3,57,0.8941,0,96.348,537,0
06-Feb-2020 23:00:001,16.1,54,1.3411,0,96.3277,432,0
07-Feb-2020 00:00:001,14.1,81,0.447,337.5,96.2701,279,0
07-Feb-2020 01:00:001,14.6,66,0,337.5,96.2464,51,0
07-Feb-2020 02:00:001,14.7,57,0.8941,337.5,96.243,0,0
07-Feb-2020 03:00:001,13,67,0.447,135,96.2498,0,0
07-Feb-2020 04:00:001,11.4,72,0.8941,135,96.2871,0,0
07-Feb-2020 05:00:001,9.7,78,0.447,135,96.3142,0,0
07-Feb-2020 06:00:001,8.5,81,0.447,135,96.3717,0,0
07-Feb-2020 07:00:001,6.9,85,0,135,96.3954,0,0
07-Feb-2020 08:00:001,6.3,88,0.447,135,96.4191,0,0
07-Feb-2020 09:00:001,5.3,89,0,0,96.4428,0,0
07-Feb-2020 10:00:001,3.9,91,0.447,112.5,96.4395,0,0
07-Feb-2020 11:00:001,3.6,92,0,135,96.4361,0,0
07-Feb-2020 12:00:001,2.8,93,0.447,90,96.4158,0,0
07-Feb-2020 13:00:001,2.7,93,0.447,112.5,96.4158,0,0
07-Feb-2020 14:00:001,2.4,94,0.447,135,96.4428,0,0
07-Feb-2020 15:00:001,2.1,94,0.447,135,96.4801,0,0
07-Feb-2020 16:00:001,2,96,0.447,135,96.5275,42,0
07-Feb-2020 17:00:001,6.7,86,0.447,135,96.5241,233,0
07-Feb-2020 18:00:001,7.7,84,0.447,315,96.5478,341,0
07-Feb-2020 19:00:001,10.1,78,0.8941,337.5,96.5309,521,0
07-Feb-2020 20:00:001,11.8,73,0.8941,0,96.4462,589,0
07-Feb-2020 21:00:001,13.9,61,0.8941,337.5,96.3379,597,0
07-Feb-2020 22:00:001,14.9,55,1.3411,0,96.2464,546,0
07-Feb-2020 23:00:001,14.9,75,0.8941,0,96.216,440,0
08-Feb-2020 00:00:001,19.6,37,0.8941,270,96.199,288,0
08-Feb-2020 01:00:001,19.1,35,2.2352,247.5,96.1923,61,0
08-Feb-2020 02:00:001,17.6,39,0.447,157.5,96.1787,0,0
08-Feb-2020 03:00:001,14.8,43,0.8941,90,96.2092,0,0
08-Feb-2020 04:00:001,13.4,49,0.8941,157.5,96.2363,0,0
08-Feb-2020 05:00:001,9.4,62,0.447,112.5,96.2397,0,0
08-Feb-2020 06:00:001,8.8,62,0.8941,157.5,96.2532,0,0
08-Feb-2020 07:00:001,6.8,66,0.447,135,96.2532,0,0
08-Feb-2020 08:00:001,5.6,71,0.447,90,96.2295,0,0
08-Feb-2020 09:00:001,5.4,72,0.447,157.5,96.1923,0,0
08-Feb-2020 10:00:001,4.1,76,0.447,135,96.2092,0,0
08-Feb-2020 11:00:001,3.7,78,0.447,135,96.2193,0,0
08-Feb-2020 12:00:001,2.8,81,0.447,135,96.1855,0,0
08-Feb-2020 13:00:001,2.4,84,0,135,96.1685,0,0
08-Feb-2020 14:00:001,1.9,83,0.8941,157.5,96.199,0,0
08-Feb-2020 15:00:001,0.9,86,0.8941,135,96.2532,0,0
08-Feb-2020 16:00:001,3.2,81,0.8941,135,96.2498,47,0
08-Feb-2020 17:00:001,6.9,75,0.447,135,96.2363,252,0
08-Feb-2020 18:00:001,9.5,65,0.8941,67.5,96.2464,367,0
08-Feb-2020 19:00:001,10.1,64,1.7882,0,96.2329,529,0
08-Feb-2020 20:00:001,11.6,61,0.8941,0,96.1923,597,0
08-Feb-2020 21:00:001,12.4,60,0.8941,0,96.1211,606,0
08-Feb-2020 22:00:001,13.5,58,1.7882,337.5,96.0331,548,0
08-Feb-2020 23:00:001,13.6,56,2.6822,270,95.9958,442,0
09-Feb-2020 00:00:001,13.2,55,3.1293,270,95.9586,290,0
09-Feb-2020 01:00:001,12.3,56,4.0234,270,95.9552,62,0
09-Feb-2020 02:00:001,11.1,61,4.0234,292.5,95.9891,0,0
09-Feb-2020 03:00:001,10.3,63,2.2352,315,96.0263,0,0
09-Feb-2020 04:00:001,8.7,57,0.447,135,96.0195,0,0
09-Feb-2020 05:00:001,6,67,0.8941,135,96.0703,0,0
09-Feb-2020 06:00:001,4.6,79,0.447,157.5,96.0974,0,0
09-Feb-2020 07:00:001,2.4,80,0.8941,90,96.1211,0,0
09-Feb-2020 08:00:001,1.6,80,0.8941,135,96.0974,0,0
09-Feb-2020 09:00:001,2.3,75,0.8941,135,96.0839,0,0
09-Feb-2020 10:00:001,1.7,73,0.8941,135,96.0636,0,0
09-Feb-2020 11:00:001,9.3,43,2.2352,315,96.0568,0,0
09-Feb-2020 12:00:001,9.7,32,3.1293,45,96.0636,0,0
09-Feb-2020 13:00:001,8.7,36,1.3411,45,96.1584,0,0
09-Feb-2020 14:00:001,8.4,40,1.3411,292.5,96.2227,0,0
09-Feb-2020 15:00:001,9.3,43,1.3411,315,96.2837,0,0
09-Feb-2020 16:00:001,9.4,41,1.7882,270,96.3243,43,0
09-Feb-2020 17:00:001,11.2,31,1.3411,90,96.3413,252,0
09-Feb-2020 18:00:001,12.2,29,1.3411,135,96.3548,391,0
09-Feb-2020 19:00:001,12.7,29,1.3411,292.5,96.4293,537,0
09-Feb-2020 20:00:001,13.4,25,1.7882,0,96.392,602,0
09-Feb-2020 21:00:001,14.7,24,2.2352,67.5,96.3683,615,0
09-Feb-2020 22:00:001,15.6,22,1.7882,67.5,96.2803,567,0
09-Feb-2020 23:00:001,15.4,23,1.3411,45,96.2769,460,0
10-Feb-2020 00:00:001,15.9,21,2.2352,67.5,96.2803,305,0
10-Feb-2020 01:00:001,15.1,25,1.7882,67.5,96.2363,66,0
10-Feb-2020 02:00:001,14.3,23,1.7882,45,96.1956,0,0
10-Feb-2020 03:00:001,12,30,0.8941,225,96.2363,0,0
10-Feb-2020 04:00:001,12.5,41,1.7882,337.5,96.2058,0,0
10-Feb-2020 05:00:001,9.6,34,0.447,67.5,96.2295,0,0
10-Feb-2020 06:00:001,6.8,40,0.8941,90,96.2566,0,0
10-Feb-2020 07:00:001,3.7,54,0.8941,90,96.216,0,0
10-Feb-2020 08:00:001,3.6,59,0.8941,180,96.2227,0,0
10-Feb-2020 09:00:001,1.7,63,0.8941,135,96.1923,0,0
10-Feb-2020 10:00:001,2.3,59,0.8941,157.5,96.1448,0,0
10-Feb-2020 11:00:001,0.5,67,0.8941,90,96.1482,0,0
10-Feb-2020 12:00:001,0.1,67,0.447,90,96.1855,0,0
10-Feb-2020 13:00:001,0.9,69,0.8941,225,96.1448,0,0
10-Feb-2020 14:00:001,0.2,69,0.8941,90,96.1855,0,0
10-Feb-2020 15:00:001,-1.1,74,0.8941,135,96.1889,0,0
10-Feb-2020 16:00:001,0.4,71,0.447,337.5,96.2058,45,0
10-Feb-2020 17:00:001,5.8,54,0.447,337.5,96.1855,256,0
10-Feb-2020 18:00:001,8.6,65,0.8941,315,96.2058,408,0
10-Feb-2020 19:00:001,11.2,42,0.8941,315,96.2193,536,0
10-Feb-2020 20:00:001,14.2,38,0.8941,0,96.1347,607,0
10-Feb-2020 21:00:001,15.4,36,1.3411,0,96.0805,617,0
10-Feb-2020 22:00:001,22.8,19,1.7882,67.5,96.0331,568,0
10-Feb-2020 23:00:001,23.3,18,1.3411,67.5,96.0162,460,0
11-Feb-2020 00:00:001,23.1,17,1.3411,90,96.0128,305,0
11-Feb-2020 01:00:001,20.7,22,1.3411,67.5,96.0263,66,0
11-Feb-2020 02:00:001,17.9,25,0.8941,67.5,96.0636,0,0
11-Feb-2020 03:00:001,16,28,0.447,67.5,96.1144,0,0
11-Feb-2020 04:00:001,13.7,39,0.447,67.5,96.1347,0,0
11-Feb-2020 05:00:001,10.9,41,0.447,247.5,96.1956,0,0
11-Feb-2020 06:00:001,9.2,52,0.447,0,96.2329,0,0
11-Feb-2020 07:00:001,7.6,54,0.8941,135,96.2837,0,0
11-Feb-2020 08:00:001,6.1,61,0.447,270,96.2701,0,0
11-Feb-2020 09:00:001,5.2,63,0.447,90,96.3006,0,0
11-Feb-2020 10:00:001,4.7,64,0.447,112.5,96.2871,0,0
11-Feb-2020 11:00:001,4.4,70,0.447,157.5,96.2668,0,0
11-Feb-2020 12:00:001,2.6,74,0.8941,135,96.243,0,0
11-Feb-2020 13:00:001,3.1,70,0.447,90,96.26,0,0
11-Feb-2020 14:00:001,2.3,78,0.447,135,96.3074,0,0
11-Feb-2020 15:00:001,2,76,0.447,180,96.3006,0,0
11-Feb-2020 16:00:001,2.7,74,0.447,90,96.348,44,0
11-Feb-2020 17:00:001,7.6,57,0.447,157.5,96.3446,251,0
11-Feb-2020 18:00:001,10.6,52,0.8941,0,96.3311,395,0
11-Feb-2020 19:00:001,11.2,50,1.7882,0,96.3616,538,0
11-Feb-2020 20:00:001,13.9,50,1.7882,0,96.2634,609,0
11-Feb-2020 21:00:001,13.3,45,1.3411,337.5,96.2058,618,0
11-Feb-2020 22:00:001,16.3,29,0.8941,315,96.1448,569,0
11-Feb-2020 23:00:001,19.6,23,0.447,0,96.094,463,0
12-Feb-2020 00:00:001,21,22,0.447,22.5,96.0771,299,0
12-Feb-2020 01:00:001,20.8,17,0.8941,22.5,96.0636,80,0
12-Feb-2020 02:00:001,17.1,30,0.447,247.5,96.0602,0,0
12-Feb-2020 03:00:001,15.3,37,0.447,90,96.1448,0,0
12-Feb-2020 04:00:001,11.5,49,0.8941,90,96.1245,0,0
12-Feb-2020 05:00:001,9.6,54,0,180,96.1482,0,0
12-Feb-2020 06:00:001,8.2,56,0.447,135,96.155,0,0
12-Feb-2020 07:00:001,7.3,58,0.447,157.5,96.1889,0,0
12-Feb-2020 08:00:001,5.6,67,0.447,135,96.1855,0,0
12-Feb-2020 09:00:001,5.4,66,0.447,157.5,96.1685,0,0
12-Feb-2020 10:00:001,3.8,74,0.447,135,96.1516,0,0
12-Feb-2020 11:00:001,4.6,74,0.447,22.5,96.1381,0,0
12-Feb-2020 12:00:001,3.2,78,0.8941,90,96.1076,0,0
12-Feb-2020 13:00:001,2.3,81,0.447,90,96.1313,0,0
12-Feb-2020 14:00:001,2.8,82,0.447,180,96.0974,0,0
12-Feb-2020 15:00:001,2.7,81,0.8941,135,96.1144,0,0
12-Feb-2020 16:00:001,2.2,82,0.8941,135,96.1685,44,0
12-Feb-2020 17:00:001,7.4,74,0.447,247.5,96.1855,261,0
12-Feb-2020 18:00:001,8.5,72,1.7882,0,96.1956,398,0
12-Feb-2020 19:00:001,11.5,56,0.8941,0,96.1787,548,0
12-Feb-2020 20:00:001,12.7,64,1.3411,0,96.1211,608,0
12-Feb-2020 21:00:001,15.2,44,1.3411,0,96.0805,626,0
12-Feb-2020 22:00:001,16.3,40,0.8941,0,96.0094,565,0
12-Feb-2020 23:00:001,19.6,33,1.3411,0,95.9552,458,0
13-Feb-2020 00:00:001,20.8,33,0.8941,0,95.9247,305,0
13-Feb-2020 01:00:001,20.6,34,0.447,270,95.8943,97,0
13-Feb-2020 02:00:001,13.7,66,0.447,292.5,95.8875,0,0
13-Feb-2020 03:00:001,12.7,63,0.447,157.5,95.9247,0,0
13-Feb-2020 04:00:001,11.2,61,0.447,135,95.945,0,0
13-Feb-2020 05:00:001,9,67,0.447,135,95.9654,0,0
13-Feb-2020 06:00:001,7.6,75,0.447,112.5,95.9789,0,0
13-Feb-2020 07:00:001,7.6,74,0.447,90,96.0026,0,0
13-Feb-2020 08:00:001,5.9,79,0.447,90,96.0162,0,0
13-Feb-2020 09:00:001,5.1,83,0.447,135,95.9925,0,0
13-Feb-2020 10:00:001,4.1,85,0.447,135,96.0094,0,0
13-Feb-2020 11:00:001,2.8,86,0.447,157.5,96.006,0,0
13-Feb-2020 12:00:001,2.6,88,0.8941,135,95.9789,0,0
13-Feb-2020 13:00:001,1.4,89,0.447,135,96.0026,0,0
13-Feb-2020 14:00:001,1.4,90,0.447,135,96.0331,0,0
13-Feb-2020 15:00:001,0.9,90,0.447,135,96.094,0,0
13-Feb-2020 16:00:001,1.1,90,0.447,135,96.1618,55,0
13-Feb-2020 17:00:001,7.3,79,0.447,90,96.1415,264,0
13-Feb-2020 18:00:001,8,80,1.3411,0,96.1652,408,0
13-Feb-2020 19:00:001,9.2,80,1.7882,0,96.1482,541,0
13-Feb-2020 20:00:001,10.4,74,0.8941,315,96.0805,609,0
13-Feb-2020 21:00:001,13.4,57,0.8941,292.5,95.9958,618,0
13-Feb-2020 22:00:001,15.7,50,1.3411,0,95.9146,566,0
13-Feb-2020 23:00:001,15.9,46,1.3411,0,95.8875,463,0
14-Feb-2020 00:00:001,17.3,46,1.3411,247.5,95.8943,306,0
14-Feb-2020 01:00:001,14.7,49,1.3411,202.5,95.9383,106,0
14-Feb-2020 02:00:001,12.3,69,0.8941,157.5,95.945,0,0
14-Feb-2020 03:00:001,10.3,77,0.447,225,95.9823,0,0
14-Feb-2020 04:00:001,8.9,83,0.447,225,95.9958,0,0
14-Feb-2020 05:00:001,7.8,86,0,247.5,96.0433,0,0
14-Feb-2020 06:00:001,6.2,89,0.447,135,96.0568,0,0
14-Feb-2020 07:00:001,6.1,89,0.447,157.5,96.05,0,0
14-Feb-2020 08:00:001,4.7,93,0.447,135,96.0636,0,0
14-Feb-2020 09:00:001,3.4,92,0.447,112.5,96.0466,0,0
14-Feb-2020 10:00:001,2.4,94,0.447,135,96.0771,0,0
14-Feb-2020 11:00:001,2.1,94,0,135,96.067,0,0
14-Feb-2020 12:00:001,1.7,95,0.447,135,96.0839,0,0
14-Feb-2020 13:00:001,1.4,94,0.447,135,96.1178,0,0
14-Feb-2020 14:00:001,0.6,95,0.447,135,96.1482,0,0
14-Feb-2020 15:00:001,0.4,95,0.447,135,96.2058,0,0
14-Feb-2020 16:00:001,2.6,97,0.447,135,96.2769,49,0
14-Feb-2020 17:00:001,4.4,97,0,135,96.348,104,0
14-Feb-2020 18:00:001,5.1,97,0.447,315,96.3853,216,0
14-Feb-2020 19:00:001,5.4,97,1.3411,315,96.3853,293,0
14-Feb-2020 20:00:001,9.7,87,0.8941,337.5,96.3379,577,0
14-Feb-2020 21:00:001,10.3,86,0.8941,337.5,96.2634,623,0
14-Feb-2020 22:00:001,12,71,1.7882,0,96.2295,572,0
14-Feb-2020 23:00:001,13.6,61,1.3411,0,96.1855,465,0
15-Feb-2020 00:00:001,16.2,50,0.8941,0,96.199,311,0
15-Feb-2020 01:00:001,15.2,55,0.447,0,96.2261,93,0
15-Feb-2020 02:00:001,13.6,49,0,270,96.2363,5,0
15-Feb-2020 03:00:001,11.5,60,0.8941,225,96.2803,0,0
15-Feb-2020 04:00:001,9.8,68,0.447,90,96.3379,0,0
15-Feb-2020 05:00:001,8.6,75,0.447,135,96.4056,0,0
15-Feb-2020 06:00:001,6.9,81,0.8941,135,96.4395,0,0
15-Feb-2020 07:00:001,6.2,87,0.447,202.5,96.4428,0,0
15-Feb-2020 08:00:001,5.8,89,0,135,96.4496,0,0
15-Feb-2020 09:00:001,4.7,89,0.447,157.5,96.4293,0,0
15-Feb-2020 10:00:001,3.7,90,0.447,135,96.4666,0,0
15-Feb-2020 11:00:001,3.6,91,0,135,96.4225,0,0
15-Feb-2020 12:00:001,3.9,91,0.447,180,96.4428,0,0
15-Feb-2020 13:00:001,2.8,90,0.8941,157.5,96.5377,0,0
15-Feb-2020 14:00:001,2.3,93,0.8941,135,96.5478,0,0
15-Feb-2020 15:00:001,3,94,0,157.5,96.5986,0,0
15-Feb-2020 16:00:001,2.7,92,0.447,157.5,96.6562,48,0
15-Feb-2020 17:00:001,6.6,89,0.447,157.5,96.6494,99,0
15-Feb-2020 18:00:001,8.3,85,0.447,315,96.6968,220,0
15-Feb-2020 19:00:001,9.6,81,1.3411,337.5,96.6901,494,0
15-Feb-2020 20:00:001,10.6,78,1.7882,0,96.6799,423,0
15-Feb-2020 21:00:001,13.8,55,1.3411,0,96.5885,593,0
15-Feb-2020 22:00:001,16.1,51,0.447,292.5,96.5207,522,0
15-Feb-2020 23:00:001,18,45,0.8941,337.5,96.5004,455,0
16-Feb-2020 00:00:001,16.4,48,3.5763,270,96.4767,203,0
16-Feb-2020 01:00:001,14.9,53,4.0234,270,96.4767,107,0
16-Feb-2020 02:00:001,13.3,55,1.3411,270,96.5343,1,0
16-Feb-2020 03:00:001,12.4,50,1.3411,225,96.5512,0,0
16-Feb-2020 04:00:001,10.9,55,0.8941,247.5,96.5986,0,0
16-Feb-2020 05:00:001,11.7,62,1.7882,270,96.5885,0,0
16-Feb-2020 06:00:001,10.8,65,0.8941,247.5,96.5952,0,0
16-Feb-2020 07:00:001,9.3,61,0.8941,90,96.6257,0,0
16-Feb-2020 08:00:001,9.2,59,0.447,157.5,96.6731,0,0
16-Feb-2020 09:00:001,8.2,65,0.447,135,96.663,0,0
16-Feb-2020 10:00:001,8.1,62,0.447,135,96.5851,0,0
16-Feb-2020 11:00:001,7.4,70,0.447,270,96.5783,0,0
16-Feb-2020 12:00:001,8.3,58,0.447,157.5,96.5885,0,0
16-Feb-2020 13:00:001,8.7,76,1.7882,270,96.6291,0,0
16-Feb-2020 14:00:001,7.4,82,0.447,157.5,96.6528,0,0
16-Feb-2020 15:00:001,6.3,80,0.447,157.5,96.6528,0,0
16-Feb-2020 16:00:001,5.4,87,0.447,90,96.7104,55,0
16-Feb-2020 17:00:001,8.4,80,0.447,180,96.7171,107,0
16-Feb-2020 18:00:001,9.8,74,0.8941,337.5,96.6867,448,0
16-Feb-2020 19:00:001,10.7,73,1.7882,0,96.6934,479,0
16-Feb-2020 20:00:001,12.9,59,1.3411,0,96.6122,488,0
16-Feb-2020 21:00:001,15.2,56,0.8941,0,96.4903,605,0
16-Feb-2020 22:00:001,15.5,56,1.3411,45,96.4259,427,0
16-Feb-2020 23:00:001,15.5,64,3.1293,270,96.4022,372,0
17-Feb-2020 00:00:001,14.5,70,4.0234,270,96.3785,325,0
17-Feb-2020 01:00:001,13.6,74,4.0234,270,96.3988,83,0
17-Feb-2020 02:00:001,12.6,77,1.7882,270,96.4191,0,0
17-Feb-2020 03:00:001,11.1,82,0.8941,247.5,96.4259,0,0
17-Feb-2020 04:00:001,9.8,83,0.447,180,96.4361,0,0
17-Feb-2020 05:00:001,7.9,88,0.447,112.5,96.5072,0,0
17-Feb-2020 06:00:001,7.2,90,0.447,112.5,96.4936,0,0
17-Feb-2020 07:00:001,6.7,91,0.447,135,96.4936,0,0
17-Feb-2020 08:00:001,5.7,92,0.447,135,96.4869,0,0
17-Feb-2020 09:00:001,5.6,93,0.447,135,96.4801,0,0
17-Feb-2020 10:00:001,4.6,95,0.447,135,96.4767,0,0
17-Feb-2020 11:00:001,4.2,94,0.447,157.5,96.4395,0,0
17-Feb-2020 12:00:001,3.4,95,0.447,135,96.4056,0,0
17-Feb-2020 13:00:001,2.7,95,0,135,96.4293,0,0
17-Feb-2020 14:00:001,1.9,95,0.447,112.5,96.3988,0,0
17-Feb-2020 15:00:001,1.9,96,0,180,96.4395,0,0
17-Feb-2020 16:00:001,1.2,96,0,180,96.5106,53,0
17-Feb-2020 17:00:001,4.4,97,0.447,315,96.5072,245,0
17-Feb-2020 18:00:001,6.4,93,1.3411,0,96.4801,420,0
17-Feb-2020 19:00:001,7.9,87,1.3411,337.5,96.4496,568,0
17-Feb-2020 20:00:001,9.7,86,1.3411,0,96.409,638,0
17-Feb-2020 21:00:001,13.1,49,1.3411,0,96.2972,662,0
17-Feb-2020 22:00:001,15.1,48,1.3411,0,96.2193,601,0
17-Feb-2020 23:00:001,15.9,39,1.3411,0,96.1448,485,0
18-Feb-2020 00:00:001,16.2,59,1.3411,0,96.1042,335,0
18-Feb-2020 01:00:001,14.7,59,0.447,270,96.0839,69,0
18-Feb-2020 02:00:001,15.5,29,0,270,96.0534,2,0
18-Feb-2020 03:00:001,13.4,45,0.447,292.5,96.067,0,0
18-Feb-2020 04:00:001,11.5,54,0.447,90,96.0873,0,0
18-Feb-2020 05:00:001,9.4,75,0,112.5,96.094,0,0
18-Feb-2020 06:00:001,8.4,71,0,202.5,96.1178,0,0
18-Feb-2020 07:00:001,7.4,78,0.447,225,96.1144,0,0
18-Feb-2020 08:00:001,6.9,68,0.447,112.5,96.1008,0,0
18-Feb-2020 09:00:001,5.3,75,0.447,135,96.0907,0,0
18-Feb-2020 10:00:001,4.3,78,0.447,135,96.0737,0,0
18-Feb-2020 11:00:001,4.6,77,0.447,180,96.0331,0,0
18-Feb-2020 12:00:001,2.4,81,0.447,90,96.0433,0,0
18-Feb-2020 13:00:001,2.1,80,0.447,157.5,96.067,0,0
18-Feb-2020 14:00:001,2.2,79,0,157.5,96.0805,0,0
18-Feb-2020 15:00:001,0.5,82,0.8941,135,96.1144,0,0
18-Feb-2020 16:00:001,1.6,79,0.447,90,96.1516,64,0
18-Feb-2020 17:00:001,6.3,67,0,135,96.1719,268,0
18-Feb-2020 18:00:001,8.2,66,1.3411,0,96.1719,430,0
18-Feb-2020 19:00:001,9.3,56,1.3411,0,96.155,568,0
18-Feb-2020 20:00:001,11.4,47,1.3411,337.5,96.111,635,0
18-Feb-2020 21:00:001,12.1,53,1.3411,337.5,96.0195,646,0
18-Feb-2020 22:00:001,13,58,1.3411,0,95.9281,593,0
18-Feb-2020 23:00:001,15.9,37,1.3411,0,95.8773,484,0
19-Feb-2020 00:00:001,15.9,43,1.3411,0,95.8807,327,0
19-Feb-2020 01:00:001,16.7,44,0,0,95.857,126,0
19-Feb-2020 02:00:001,15,47,0.447,270,95.8672,4,0
19-Feb-2020 03:00:001,12.5,53,0.8941,247.5,95.8807,0,0
19-Feb-2020 04:00:001,10.7,57,0.447,135,95.9247,0,0
19-Feb-2020 05:00:001,8.8,64,0.447,202.5,95.962,0,0
19-Feb-2020 06:00:001,6.8,72,0.447,157.5,96.0263,0,0
19-Feb-2020 07:00:001,6,73,0.8941,157.5,96.0534,0,0
19-Feb-2020 08:00:001,4.2,77,0.447,157.5,96.0839,0,0
19-Feb-2020 09:00:001,3.5,80,0,157.5,96.1076,0,0
19-Feb-2020 10:00:001,2.8,81,0.8941,135,96.1347,0,0
19-Feb-2020 11:00:001,2.5,84,0,135,96.1415,0,0
19-Feb-2020 12:00:001,1.6,83,0.8941,135,96.1279,0,0
19-Feb-2020 13:00:001,1.6,84,0.447,135,96.1821,0,0
19-Feb-2020 14:00:001,0.3,86,0.447,135,96.216,0,0
19-Feb-2020 15:00:001,-0.2,89,0.447,135,96.2803,0,0
19-Feb-2020 16:00:001,1.6,85,0.8941,135,96.3345,75,0
19-Feb-2020 17:00:001,5.9,78,0.447,135,96.3887,268,0
19-Feb-2020 18:00:001,7.4,78,0.8941,0,96.3853,426,0
19-Feb-2020 19:00:001,9,74,1.3411,0,96.3785,575,0
19-Feb-2020 20:00:001,10.4,70,1.7882,0,96.3446,640,0
19-Feb-2020 21:00:001,12.2,58,0.8941,315,96.2566,636,0
19-Feb-2020 22:00:001,14.8,44,1.3411,0,96.2295,591,0
19-Feb-2020 23:00:001,15.2,50,1.3411,0,96.1956,456,0
20-Feb-2020 00:00:001,16.3,34,1.3411,0,96.155,324,0
20-Feb-2020 01:00:001,15.7,36,0.8941,0,96.1279,99,0
20-Feb-2020 02:00:001,14.2,34,0,225,96.1415,1,0
20-Feb-2020 03:00:001,12.4,44,0.8941,135,96.1787,0,0
20-Feb-2020 04:00:001,10.8,58,0.447,225,96.1753,0,0
20-Feb-2020 05:00:001,9.1,62,0.447,292.5,96.216,0,0
20-Feb-2020 06:00:001,6.9,67,0,90,96.2668,0,0
20-Feb-2020 07:00:001,5.6,71,0.447,90,96.2769,0,0
20-Feb-2020 08:00:001,4.6,75,0.447,157.5,96.2837,0,0
20-Feb-2020 09:00:001,3.6,79,0.8941,90,96.2837,0,0
20-Feb-2020 10:00:001,3.9,78,0.447,135,96.2972,0,0
20-Feb-2020 11:00:001,3.1,84,0,157.5,96.2532,0,0
20-Feb-2020 12:00:001,2.9,82,0.447,135,96.2329,0,0
20-Feb-2020 13:00:001,2.2,84,0.8941,90,96.2905,0,0
20-Feb-2020 14:00:001,2.2,85,0.447,90,96.3446,0,0
20-Feb-2020 15:00:001,2.4,86,0,180,96.3819,0,0
20-Feb-2020 16:00:001,3.1,86,0.447,112.5,96.4225,86,0
20-Feb-2020 17:00:001,7.1,77,0.447,247.5,96.4733,259,0
20-Feb-2020 18:00:001,9.4,66,0.8941,0,96.4869,425,0
20-Feb-2020 19:00:001,10.3,67,1.3411,0,96.4767,435,0
20-Feb-2020 20:00:001,12.2,60,0.8941,337.5,96.4327,514,0
20-Feb-2020 21:00:001,17.1,35,3.1293,67.5,96.3209,587,0
20-Feb-2020 22:00:001,17.4,32,2.6822,90,96.2735,499,0
20-Feb-2020 23:00:001,17.9,29,1.7882,67.5,96.2464,349,0
21-Feb-2020 00:00:001,17.1,30,1.7882,90,96.2329,165,0
21-Feb-2020 01:00:001,16.2,32,1.3411,90,96.216,62,0
21-Feb-2020 02:00:001,14.9,36,0.447,90,96.216,1,0
